condition_snomed_id_src,condition_snomed_id_dst,relation_strength,relation_polarity
415105001,77386006,very_high,positive
371087003,44054006,very_high,positive
420422005,44054006,high,positive
420422005,46635009,very_high,positive
230572002,44054006,very_high,positive
230572002,46635009,high,positive
34801009,36521000,very_high,positive
4740000,161423008,very_high,positive
14094001,77386006,very_high,positive
52011008,418019003,very_high,positive
82271004,418019003,very_high,positive
125601008,418019003,very_high,positive
125594001,418019003,very_high,positive
36813001,77386006,very_high,positive
398254007,77386006,very_high,positive
54048003,77386006,very_high,positive
123471000119103,713404003,very_high,positive
16607004,77386006,very_high,positive
13758004,439420004,very_high,positive
127013003,44054006,very_high,positive
127014009,44054006,very_high,positive
38481006,38341003,very_high,positive
25093002,44054006,very_high,positive
282752000,418019003,very_high,positive
125604000,418019003,very_high,positive
2858002,86569001,very_high,positive
13842006,86569001,very_high,positive
1119303003,1575551000168104,medium,positive
15938005,77386006,very_high,positive
95605009,77386006,very_high,positive
58703003,86569001,very_high,positive
11687002,77386006,very_high,positive
37869000,40537000,very_high,positive
127295002,82271004,very_high,positive
66264000,91175000,very_high,positive
449826002,439420004,high,positive
237684005,86569001,very_high,positive
110030002,82271004,very_high,positive
6836001,125594001,very_high,positive
14168008,242607005,very_high,positive
41309000,219006,very_high,positive
132721000119104,38341003,high,positive
146799005,2314005,very_high,positive
87284002,284567000,very_high,positive
88050005,2999009,very_high,positive
370977006,40537000,very_high,positive
95239003,2704,very_high,positive
425852005,307136000,medium,positive
302941001,307136000,medium,positive
44551007,307136000,high,positive
91613004,125596004,very_high,positive
17883008,125600009,very_high,positive
73692007,225425006,very_high,positive
